  XORS2X12
    area: 7.49
    A    <-  (0.005574)
    B    <-  (0.005749)
    Z    ->  (0.21) (!A*B+A*!B)	--- XOR2
      cell_fall
            input_net_transition total_output_net_capacitance time
            0.035 0.013 0.181753
            0.035 0.026 0.256751
            0.035 0.053 0.413039
            0.035 0.11 0.744205
            0.07 0.0014 0.1386
            0.07 0.0066 0.169389
            0.07 0.013 0.206547
            0.07 0.026 0.281754
            0.07 0.053 0.438339
            0.07 0.11 0.769307
            0.14 0.0014 0.181093
            0.14 0.0066 0.212124
            0.14 0.013 0.249326
            0.14 0.026 0.324665
            0.14 0.053 0.481151
            0.14 0.11 0.812361
            0.28 0.0014 0.253011
            0.28 0.0066 0.284537
            0.28 0.013 0.321904
            0.28 0.026 0.397375
            0.28 0.053 0.553949
            0.28 0.11 0.884818
            0.56 0.0014 0.372823
            0.56 0.0066 0.405856
            0.56 0.013 0.443663
            0.56 0.026 0.519332
            0.56 0.053 0.710721
            0.56 0.11 1.07142
      fall_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.036078
            0.005 0.0066 0.064586
            0.005 0.013 0.10873
            0.005 0.026 0.19824
            0.005 0.053 0.38387
            0.005 0.11 0.77573
            0.035 0.0014 0.03619
            0.035 0.0066 0.065593
            0.035 0.013 0.10907
            0.035 0.026 0.19833
            0.035 0.053 0.38405
            0.035 0.11 0.77622
            0.07 0.0014 0.036552
            0.07 0.0066 0.069085
            0.07 0.013 0.1117
            0.07 0.026 0.19958
            0.07 0.053 0.38447
            0.07 0.11 0.77641
            0.14 0.0014 0.043482
            0.14 0.0066 0.078151
            0.14 0.013 0.12001
            0.14 0.026 0.20565
            0.14 0.053 0.38721
            0.14 0.11 0.77683
            0.28 0.0014 0.061949
            0.28 0.0066 0.097693
            0.28 0.013 0.13957
            0.28 0.026 0.2237
            0.28 0.053 0.39992
            0.28 0.11 0.78239
            0.56 0.0014 0.10017
            0.56 0.0066 0.13792
            0.56 0.013 0.1804
            0.56 0.026 0.2644
            0.56 0.053 0.43759
            0.56 0.11 0.80881
      rise_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.046462
            0.005 0.0066 0.09581
            0.005 0.013 0.15597
            0.005 0.026 0.27808
            0.005 0.053 0.53048
            0.005 0.11 1.0631
            0.035 0.0014 0.048352
            0.035 0.0066 0.096444
            0.035 0.013 0.15627
            0.035 0.026 0.27809
            0.035 0.053 0.53062
            0.035 0.11 1.0633
            0.07 0.0014 0.053716
            0.07 0.0066 0.10048
            0.07 0.013 0.1588
            0.07 0.026 0.27876
            0.07 0.053 0.53063
            0.07 0.11 1.0635
            0.14 0.0014 0.065326
            0.14 0.0066 0.11243
            0.14 0.013 0.16895
            0.14 0.026 0.28522
            0.14 0.053 0.53293
            0.14 0.11 1.0637
            0.28 0.0014 0.088059
            0.28 0.0066 0.13751
            0.28 0.013 0.19447
            0.28 0.026 0.30786
            0.28 0.053 0.54692
            0.28 0.11 1.0682
            0.56 0.0014 0.12982
            0.56 0.0066 0.18567
            0.56 0.013 0.24541
            0.56 0.026 0.36056
            0.56 0.053 0.59409
            0.56 0.11 1.0969
  XOR2X18
    area: 8.11
    A    <-  (0.002344)
    B    <-  (0.004428)
    Z    ->  (0.32) (!A*B+A*!B)	--- XOR2
      cell_fall
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.135564
            0.005 0.02 0.172645
            0.005 0.039 0.198066
            0.005 0.079 0.244299
            0.005 0.16 0.331848
            0.005 0.32 0.502524
            0.035 0.0014 0.158268
            0.035 0.02 0.195349
            0.035 0.039 0.22077
            0.035 0.079 0.267003
            0.035 0.16 0.354596
            0.035 0.32 0.525415
            0.07 0.0014 0.180818
            0.07 0.02 0.217888
            0.07 0.039 0.24332
            0.07 0.079 0.289564
            0.07 0.16 0.377146
            0.07 0.32 0.547965
            0.14 0.0014 0.219307
            0.14 0.02 0.256377
            0.14 0.039 0.28182
            0.14 0.079 0.328075
            0.14 0.16 0.415657
            0.14 0.32 0.58641
            0.28 0.0014 0.285626
            0.28 0.02 0.326238
            0.28 0.039 0.352968
            0.28 0.079 0.400433
            0.28 0.16 0.488675
            0.28 0.32 0.65934
            0.56 0.0014 0.412368
            0.56 0.02 0.457501
            0.56 0.039 0.485793
            0.56 0.079 0.534666
            0.56 0.16 0.62359
            0.56 0.32 0.794431
      cell_rise
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.1265
            0.005 0.02 0.163922
            0.005 0.039 0.192907
            0.005 0.079 0.25036
            0.005 0.16 0.365112
            0.005 0.32 0.591283
            0.035 0.0014 0.148753
            0.035 0.02 0.186175
