  OR2X18
    area: 4.37
    A    <-  (0.002379)
    B    <-  (0.00229)
    Z    ->  (0.32) (A+B)	--- OR2
      cell_fall positive_unate
            input_net_transition total_output_net_capacitance time
            0.035 0.009 0.173283
            0.035 0.018 0.21428
            0.035 0.035 0.288079
            0.035 0.07 0.438724
            0.07 0.0014 0.150612
            0.07 0.009 0.193875
            0.07 0.018 0.23496
            0.07 0.035 0.308803
            0.07 0.07 0.459426
            0.14 0.0014 0.186934
            0.14 0.009 0.231066
            0.14 0.018 0.272481
            0.14 0.035 0.346401
            0.14 0.07 0.496837
            0.28 0.0014 0.249678
            0.28 0.009 0.295625
            0.28 0.018 0.337722
            0.28 0.035 0.41206
            0.28 0.07 0.562584
            0.56 0.0014 0.354783
            0.56 0.009 0.404624
            0.56 0.018 0.447953
            0.56 0.035 0.52294
            0.56 0.07 0.673695
      cell_rise positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.0692802
            0.005 0.009 0.112651
            0.005 0.018 0.161326
            0.005 0.035 0.252835
            0.005 0.07 0.440473
            0.035 0.0014 0.0926387
            0.035 0.009 0.136202
            0.035 0.018 0.184943
            0.035 0.035 0.276474
            0.035 0.07 0.464156
            0.07 0.0014 0.117051
            0.07 0.009 0.16093
            0.07 0.018 0.209605
            0.07 0.035 0.300938
            0.07 0.07 0.488906
            0.14 0.0014 0.158939
            0.14 0.009 0.203654
            0.14 0.018 0.252384
            0.14 0.035 0.343706
            0.14 0.07 0.5313
            0.28 0.0014 0.229185
            0.28 0.009 0.275902
            0.28 0.018 0.324808
            0.28 0.035 0.416119
            0.28 0.07 0.603724
            0.56 0.0014 0.34518
            0.56 0.009 0.396935
            0.56 0.018 0.446248
            0.56 0.035 0.537614
            0.56 0.07 0.725208
      fall_transition positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.033242
            0.005 0.009 0.08262
            0.005 0.018 0.1431
            0.005 0.035 0.26033
            0.005 0.07 0.50476
            0.035 0.0014 0.033316
            0.035 0.009 0.08263
            0.035 0.018 0.14315
            0.035 0.035 0.26034
            0.035 0.07 0.50493
            0.07 0.0014 0.033761
            0.07 0.009 0.082861
            0.07 0.018 0.14323
            0.07 0.035 0.26035
            0.07 0.07 0.50494
            0.14 0.0014 0.035081
            0.14 0.009 0.083799
            0.14 0.018 0.14369
            0.14 0.035 0.26054
            0.14 0.07 0.50497
            0.28 0.0014 0.037981
            0.28 0.009 0.086038
            0.28 0.018 0.14531
            0.28 0.035 0.2613
            0.28 0.07 0.50533
            0.56 0.0014 0.044588
            0.56 0.009 0.090488
            0.56 0.018 0.14809
            0.56 0.035 0.26297
            0.56 0.07 0.50624
      rise_transition positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.027978
            0.005 0.009 0.093506
            0.005 0.018 0.1733
            0.005 0.035 0.32438
            0.005 0.07 0.63551
            0.035 0.0014 0.028206
            0.035 0.009 0.093568
            0.035 0.018 0.17338
            0.035 0.035 0.32449
            0.035 0.07 0.63552
            0.07 0.0014 0.029054
            0.07 0.009 0.093814
            0.07 0.018 0.17361
            0.07 0.035 0.32458
            0.07 0.07 0.63572
            0.14 0.0014 0.031038
            0.14 0.009 0.094194
            0.14 0.018 0.17371
            0.14 0.035 0.32467
            0.14 0.07 0.63573
            0.28 0.0014 0.035238
            0.28 0.009 0.095695
            0.28 0.018 0.17411
            0.28 0.035 0.32483
            0.28 0.07 0.63574
            0.56 0.0014 0.044037
            0.56 0.009 0.099617
            0.56 0.018 0.17616
            0.56 0.035 0.3259
            0.56 0.07 0.63618  OR2X9
    area: 3.74
    A    <-  (0.001581)
    B    <-  (0.001417)
    Z    ->  (0.16) (A+B)	--- OR2
      cell_fall positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.102255
            0.005 0.0098 0.131703
            0.005 0.02 0.158411
            0.005 0.039 0.203302
            0.005 0.079 0.294668
            0.005 0.16 0.47861
            0.035 0.0014 0.121869
            0.035 0.0098 0.151327
            0.035 0.02 0.178046
            0.035 0.039 0.222959
            0.035 0.079 0.314358
            0.035 0.16 0.498223
            0.07 0.0014 0.142538
            0.07 0.0098 0.172227
            0.07 0.02 0.199056
            0.07 0.039 0.244046
            0.07 0.079 0.335467
            0.07 0.16 0.519442
            0.14 0.0014 0.179333
            0.14 0.0098 0.209814
            0.14 0.02 0.237006
            0.14 0.039 0.28226
            0.14 0.079 0.373747
            0.14 0.16 0.557469
            0.28 0.0014 0.242792
            0.28 0.0098 0.274945
            0.28 0.02 0.302896
            0.28 0.039 0.348722
            0.28 0.079 0.440473
            0.28 0.16 0.624294
            0.56 0.0014 0.348942
            0.56 0.0098 0.384791
            0.56 0.02 0.414227
            0.56 0.039 0.461065
            0.56 0.079 0.5533
            0.56 0.16 0.737264
      cell_rise positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.060665
            0.005 0.0098 0.0883333
            0.005 0.02 0.118459
            0.005 0.039 0.173844
            0.005 0.079 0.289971
            0.005 0.16 0.52426
            0.035 0.0014 0.0841368
            0.035 0.0098 0.111925
            0.035 0.02 0.14212
            0.035 0.039 0.197582
            0.035 0.079 0.313566
            0.035 0.16 0.548075
            0.07 0.0014 0.108409
            0.07 0.0098 0.136576
            0.07 0.02 0.166859
            0.07 0.039 0.222244
            0.07 0.079 0.338316
            0.07 0.16 0.572759
            0.14 0.0014 0.149897
            0.14 0.0098 0.179113
            0.14 0.02 0.209528
            0.14 0.039 0.264891
            0.14 0.079 0.380842
            0.14 0.16 0.615153
            0.28 0.0014 0.219329
            0.28 0.0098 0.251031
            0.28 0.02 0.281765
            0.28 0.039 0.337249
            0.28 0.079 0.453123
            0.28 0.16 0.687445
            0.56 0.0014 0.333828
            0.56 0.0098 0.371173
            0.56 0.02 0.403117
            0.56 0.039 0.458678
            0.56 0.079 0.574607
            0.56 0.16 0.808797
      fall_transition positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.027456
            0.005 0.0098 0.056788
            0.005 0.02 0.092143
            0.005 0.039 0.16007
            0.005 0.079 0.3071
            0.005 0.16 0.60723
            0.035 0.0014 0.027558
            0.035 0.0098 0.056805
            0.035 0.02 0.092193
            0.035 0.039 0.16008
            0.035 0.079 0.30711
            0.035 0.16 0.60742
            0.07 0.0014 0.028032
            0.07 0.0098 0.057178
            0.07 0.02 0.092413
            0.07 0.039 0.16012
            0.07 0.079 0.30712
            0.07 0.16 0.60743
            0.14 0.0014 0.029446
            0.14 0.0098 0.058244
            0.14 0.02 0.093256
            0.14 0.039 0.16078
            0.14 0.079 0.30732
            0.14 0.16 0.60752
            0.28 0.0014 0.032533
            0.28 0.0098 0.060803
            0.28 0.02 0.095206
            0.28 0.039 0.16207
            0.28 0.079 0.30809
            0.28 0.16 0.60777
            0.56 0.0014 0.039441
            0.56 0.0098 0.066334
            0.56 0.02 0.099414
            0.56 0.039 0.16484
            0.56 0.079 0.3094
            0.56 0.16 0.60875
      rise_transition positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.020849
            0.005 0.0098 0.059181
            0.005 0.02 0.10788
            0.005 0.039 0.19894
            0.005 0.079 0.3909
            0.005 0.16 0.77983
            0.035 0.0014 0.021218
            0.035 0.0098 0.0593
            0.035 0.02 0.10789
            0.035 0.039 0.19895
            0.035 0.079 0.39091
            0.035 0.16 0.77984
            0.07 0.0014 0.022211
            0.07 0.0098 0.059599
            0.07 0.02 0.10805
            0.07 0.039 0.19896
            0.07 0.079 0.39092
            0.07 0.16 0.7799
            0.14 0.0014 0.0245
            0.14 0.0098 0.060641
            0.14 0.02 0.1084
            0.14 0.039 0.19903
            0.14 0.079 0.39093
            0.14 0.16 0.77993
            0.28 0.0014 0.029314
            0.28 0.0098 0.063211
            0.28 0.02 0.10978
            0.28 0.039 0.19968
            0.28 0.079 0.39115
            0.28 0.16 0.77994
            0.56 0.0014 0.038728
            0.56 0.0098 0.069411
            0.56 0.02 0.11284
            0.56 0.039 0.20124
            0.56 0.079 0.39209
            0.56 0.16 0.78038
